name; score ;volume;coins;markets;liquidity;type
Bitstamp (Ripple Gateway);;192567;3;2;49;central
Bits Blockchain;;7854878;4;3;N/A;central
Tidebit;;3101143;8;8;N/A;central
InfinityCoin Exchange;;373;2;1;N/A;central
TOPBTC;;664166907;36;41;N/A;central
Vebitcoin;;63783042;19;20;N/A;central
Bithesap;;15321611;3;2;N/A;central
IDCM;;1554573470;22;80;N/A;central
Cashierest;;9544627;28;31;N/A;central
CryptalDash;;0;10;17;N/A;central
YunEx;;24615773;21;26;N/A;central
Xena Exchange;;4353265;3;7;N/A;central
EtherFlyer;;24911470046;72;72;N/A;central
CBX;;296245576;18;28;N/A;central
Oasis Exchange;;306472304;17;17;N/A;central
BankCEX;;21026414;22;50;1;central
Einax;;77062;3;2;N/A;central
UPEX;;2651996722;37;48;257;central
BQT;;2714458;14;34;N/A;central
BitoPro;;35667345;14;23;N/A;central
Emirex;;156404696;51;99;N/A;central
VCC Exchange;;8998279322;110;301;N/A;central
Hydax Exchange;;8879570992;45;83;201;central
Crypterum;;551685;8;19;44;central
Bitay;;188357703;45;93;N/A;central
VALR;;15698858;53;87;N/A;central
Huobi Thailand;;501;16;22;142;central
Biconomy;;999722548;5;4;37;central
Hotcoin Global;;1275347114;54;67;142;central
Phemex;;165936064;14;18;N/A;central
FarhadMarket;;323354713;10;11;141;central
GokuMarket;;7461992;27;49;N/A;central
CoinCasso;;1191657;13;15;N/A;central
CrossTower;;838987;8;12;192;central
Azbit;;4838540;15;21;3;central
Xtheta Global;;8559179353;41;70;174;central
LongBit;;529786814;25;43;117;central
SINEGY Marketplace;;14863;3;2;10;central
BSCswap;;10351;19;21;N/A;central
Dsdaq;;9296115898;48;60;195;central
FTX US;;36327220;9;17;N/A;central
ACDX;;189231;4;4;N/A;central
JulSwap;;253627;6;8;N/A;central
Serum Swap;;807819;9;18;166;central
BEPSwap;;8881913;13;12;N/A;central
